CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
36.763.716/0001-98;2024-12-31;1;CONCESSIONÁRIA CATARINENSE DE RODOVIAS S.A.;991031991;0;991031991;0;0;0
37.663.076/0001-07;2024-12-31;1;AUREN PARTICIPAÇÕES S.A.;751076090;0;751076090;3140;0;3140
37.702.340/0001-74;2024-12-31;1;MONTE RODOVIAS S.A.;136264376;0;136264376;0;0;0
38.042.694/0001-00;2024-12-31;1;TRAVESSIA SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;500;0;500;0;0;0
38.199.406/0001-18;2024-12-31;1;RIO ALTO ENERGIAS RENOVÁVEIS S.A.;46000;0;46000;0;0;0
38.286.323/0001-66;2024-12-31;1;ASSURUÁ 4 E 5 HOLDING ENERGIA S.A.;633123134;456899648;1090022782;0;0;0
38.307.135/0001-77;2024-12-31;1;G2D INVESTMENTS, LTD.;84975995;30080393;115056388;0;0;0
38.456.921/0001-36;2024-12-31;4;INFRACOMMERCE CXAAS S.A.;797937202;0;797937202;0;0;0
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;49155276;49155276;98310552;0;0;0
39.115.514/0001-28;2024-12-31;1;RUMO MALHA OESTE S.A.;27814146193;1175564295;28989710488;0;0;0
39.580.673/0001-01;2024-12-31;1;BRK AMBIENTAL - REGIÃO METROPOLITANA DE MACEIÓ S.A.;1407552519;0;1407552519;0;0;0
39.881.421/0001-04;2024-12-31;1;COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G;9449127;89064;9538191;0;0;0
40.159.947/0001-64;2024-12-31;1;HMOBI PARTICIPAÇÕES S.A.;1834130255;0;1834130255;0;0;0
40.263.170/0001-83;2024-12-31;1;SOLVI ESSENCIS AMBIENTAL S.A.;281382075;0;281382075;0;0;0
40.337.136/0001-06;2024-12-31;1;TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.;96227;0;96227;20;0;20
40.480.481/0001-02;2024-12-31;1;RIO ALTO STL HOLDING I S.A.;479000;0;479000;0;0;0
40.593.395/0001-06;2024-12-31;1;IFIN PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
40.997.635/0001-20;2024-12-31;1;PORTO DE VITORIA COMPANHIA SECURITIZADORA DE CREDITOS FINANC;500;0;500;0;0;0
41.052.420/0001-07;2024-12-31;1;SOLAR BEBIDAS S.A.;1190097985;1140951274;2331049259;0;0;0
41.096.674/0001-19;2024-12-31;1;CANTU STORE S.A.;206741876;0;206741876;0;0;0
41.335.131/0001-07;2024-12-31;1;MOTTU I S.A;13627;0;13627;0;0;0
41.508.382/0001-46;2024-12-31;1;RODOVIAS DO BRASIL HOLDING S.A.;928270206;0;928270206;0;0;0
41.570.356/0001-48;2024-12-31;1;VRENTAL LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS S.A.;32831446;0;32831446;0;0;0
41.886.692/0001-02;2024-12-31;1;CONCESSIONARIA ROTA DE SANTA MARIA S.A;310000000000;0;310000000000;0;0;0
42.150.391/0001-70;2024-12-31;1;BRASKEM S.A.;451668652;345539155;797207807;0;27;27
42.233.757/0001-75;2024-12-31;1;ALVAREZ & MARSAL INVESTIMENTOS I S.A.;1000;0;1000;0;0;0
42.278.291/0001-24;2024-12-31;1;LOG-IN LOGISTICA INTERMODAL S.A.;107306486;0;107306486;1218772;0;1218772
42.278.473/0001-03;2024-12-31;2;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;159907282;0;159907282;0;0;0
42.292.007/0001-74;2024-12-31;1;RIO+ SANEAMENTO BL 3 S.A.;675002500;0;675002500;0;0;0
42.310.775/0001-03;2024-12-31;1;ÁGUAS DO RIO 1 SPE S.A.;688011298;0;688011298;0;0;0
42.331.462/0001-31;2024-12-31;1;EMBPAR PARTICIPAÇÕES S/A;14860;0;14860;0;0;0
42.353.180/0001-35;2024-12-31;1;IGUÁ RIO DE JANEIRO S.A.;608830;0;608830;0;0;0
42.500.384/0001-51;2024-12-31;1;SERENA ENERGIA S.A.;622730556;0;622730556;42205;0;42205
42.644.220/0001-06;2024-12-31;1;ÁGUAS DO RIO 4 SPE S.A.;951782189;0;951782189;0;0;0
42.737.954/0001-21;2024-12-31;2;INTER & CO, INC.;439701921;0;439701921;0;0;0
42.771.949/0001-35;2024-12-31;2;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;118292816;0;118292816;90827;0;90827
43.283.811/0001-50;2024-12-31;1;KALUNGA S.A;622139776;0;622139776;0;0;0
43.335.774/0001-86;2024-12-31;2;TRAVESSIA SECURITIZADORA DE CRÉDITOS MERCANTIS VI S.A.;500;0;500;0;0;0
43.470.988/0001-65;2024-12-31;1;EVEN CONSTRUTORA E INCORPORADORA S.A.;200000000;0;200000000;3143749;0;3143749
43.514.079/0001-81;2024-12-31;1;CLI SUL S.A.;435000500;0;435000500;0;0;0
43.776.517/0001-80;2024-12-31;3;CIA SANEAMENTO BASICO EST SAO PAULO;683509868;1;683509869;0;0;0
43.948.405/0001-69;2024-12-31;2;LUPO S.A.;197593686;0;197593686;0;0;0
44.067.725/0001-72;2024-12-31;1;VIA BRASIL BR 163 CONCESSIONÁRIA DE RODOVIAS S.A.;500000000;0;500000000;0;0;0
44.319.688/0001-42;2024-12-31;1;CONCESSIONÁRIA DO SISTEMA RODOVIÁRIO RIO-SÃO PAULO S.A;2034122500;0;2034122500;0;0;0
44.854.238/0001-50;2024-12-31;1;PARSAN S.A.;50000000;50000000;100000000;0;0;0
45.242.914/0001-05;2024-12-31;1;C&A MODAS S.A.;308245068;0;308245068;3624126;0;3624126
45.365.558/0001-09;2024-12-31;1;VITTIA S.A.;150314018;0;150314018;304779;0;304779
45.453.214/0001-51;2024-12-31;1;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;123813;0;123813;1202;0;1202
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;550000000;0;550000000;0;0;0
45.736.131/0001-70;2024-12-31;1;UNIDAS LOCADORA S.A.;3969383601;0;3969383601;0;0;0
45.987.245/0001-92;2024-12-31;1;BIOMA EDUCAÇÃO S.A.;26390582;0;26390582;0;0;0
46.119.855/0001-37;2024-12-31;1;SOCIEDADE ABASTECIMENTO DE ÁGUA E SANEAMENTO S.A - SANASA;600534;0;600534;30;0;30
46.568.486/0001-60;2024-12-31;1;QUANTUM MANTIQUEIRA PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
46.573.272/0001-81;2024-12-31;1;PORTO SAÚDE PARTICIPAÇÕES S.A.;1246832885;0;1246832885;0;0;0
47.155.252/0001-53;2024-12-31;1;VIA ARAUCÁRIA CONCESSIONÁRIA DE RODOVIAS S.A.;735074;0;735074;0;0;0
47.508.411/0001-56;2024-12-31;1;CIA BRASILEIRA DE DISTRIBUICAO;490198;0;490198;160;0;160
47.509.120/0001-82;2024-12-31;1;BRADESCO LEASING S.A. ARREND MERCANTIL;24;0;24;0;0;0
47.586.663/0001-01;2024-12-31;2;NOVA SOCIEDADE DE NAVEGAÇÃO S.A.;12007;0;12007;0;0;0
47.815.827/0001-17;2024-12-31;1;CAMINHOS DA SERRA GAUCHA S/A;283066000;0;283066000;0;0;0
47.960.950/0001-21;2024-12-31;1;MAGAZINE LUIZA S.A.;738995248;0;738995248;2935027;0;2935027
48.127.008/0001-40;2024-12-31;2;CONCESSIONÁRIA RODOVIAS DO SUL DE MINAS SPE S.A.;26000000;26000000;52000000;0;0;0
48.127.012/0001-08;2024-12-31;2;CONCESSIONÁRIA RODOVIAS DO TRIÂNGULO SPE S.A.;125000000;125000000;250000000;0;0;0
48.710.127/0001-20;2024-12-31;1;SPE NOVO NORTE AEROPORTOS S.A;115250874;0;115250874;0;0;0
48.851.242/0001-15;2024-12-31;1;CONCESSIONARIA DAS RODOVIAS DO LESTE MS S/A;122000000;0;122000000;0;0;0
49.115.815/0001-05;2024-12-31;1;JBS N.V.;1166514949;0;1166514949;624500000;0;624500000
49.263.189/0001-02;2024-12-31;1;HELBOR EMPREENDIMENTOS S.A.;133851;0;133851;1157;0;1157
49.314.049/0001-08;2024-12-31;1;CONCESSIONÁRIA DE RODOVIAS NOROESTE PAULISTA S.A;58057;0;58057;0;0;0
49.669.856/0001-43;2024-12-31;1;VESTE S.A. ESTILO;114001;0;114001;0;0;0
50.399.553/0001-37;2024-12-31;1;CONCESSIONÁRIA RODOANEL NORTE SPE S.A.;218001000;0;218001000;0;0;0
50.746.577/0001-15;2024-12-31;1;COSAN S.A.;1866570932;0;1866570932;3747965;0;3747965
50.926.955/0001-42;2024-12-31;2;VULCABRAS S.A.;274656;0;274656;3107;0;3107
51.128.999/0001-90;2024-12-31;1;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;13244400;0;13244400;11000;0;11000
51.136.974/0001-38;2024-12-31;2;EPR INFRAESTRUTURA PR S.A.;256625000;256625000;513250000;0;0;0
51.137.031/0001-20;2024-12-31;1;EPR LITORAL PIONEIRO S.A.;1000000000;0;1000000000;0;0;0
51.218.147/0001-93;2024-12-31;2;IGUATEMI EMPRESA DE SHOPPING CENTERS S.A;164955322;0;164955322;0;0;0
51.430.503/0001-38;2024-12-31;1;PORTO SERVIÇO S.A;978570481;0;978570481;0;0;0
51.466.860/0001-56;2024-03-31;1;SAO MARTINHO S.A.;346375066;0;346375066;544400;0;544400
51.742.485/0001-20;2024-12-31;1;CONCESSIONÁRIA RODOVIAS DO CAFÉ SPE S.A.;60000000;60000000;120000000;0;0;0
51.928.174/0001-50;2024-12-31;2;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;12425;0;12425;0;0;0
52.017.473/0001-03;2024-12-31;1;AZEVEDO & TRAVASSOS ENERGIA S.A.;197584471;0;197584471;0;0;0
52.270.350/0001-71;2024-12-31;1;COMPANHIA BRASILEIRA DE SERVIÇOS FINANCEIROS;94000;0;94000;0;0;0
52.475.549/0001-36;2024-12-31;2;R/HOLDINGS S.A.;1000;0;1000;0;0;0
52.548.435/0001-79;2024-12-31;1;JSL S.A.;286431078;0;286431078;1916372;0;1916372
52.805.925/0001-03;2024-12-31;1;BELORA RDVC CITY DESENVOLVIMENTO IMOBILIÁRIO S.A.;149000;0;149000;0;0;0
52.810.883/0001-07;2024-12-31;2;REVEE MCO S.A.;1000;0;1000;0;0;0
52.841.191/0001-18;2024-12-31;2;REVEE S.A.;115081;0;115081;0;0;0
53.113.791/0001-22;2024-12-31;1;TOTVS S.A.;599401581;0;599401581;13512321;0;13512321
53.153.938/0001-08;2024-12-31;1;COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS S.A.;3686823;0;3686823;11611;0;11611
55.231.969/0001-65;2024-12-31;1;EPR VIA MINEIRA S.A.;340000100;0;340000100;0;0;0
56.444.250/0001-75;2024-12-31;1;HAUSCENTER SA;2327;0;2327;0;0;0
56.643.018/0001-66;2024-12-31;1;EUCATEX S.A. INDUSTRIA E COMERCIO;31258;61361;92619;5;474;479
56.720.428/0001-63;2024-12-31;2;ROMI S.A.;93170747;0;93170747;0;0;0
56.992.423/0001-90;2024-12-31;1;BICICLETAS MONARK S.A.;454750;0;454750;0;0;0
58.070.452/0001-20;2024-12-31;1;IGUÁ SERGIPE S.A.;640001;0;640001;0;0;0
58.119.199/0001-51;2024-12-31;1;ODONTOPREV S.A.;552495663;0;552495663;6188777;0;6188777
58.430.828/0001-60;2024-12-31;1;BLAU FARMACÊUTICA S.A.;179393939;0;179393939;1713200;0;1713200
59.105.999/0001-86;2024-12-31;1;WHIRLPOOL S.A.;1028701;474085;1502786;0;0;0
59.285.411/0001-13;2024-12-31;1;BCO PAN S.A.;657560635;611509455;1269070090;0;18500318;18500318
59.418.806/0001-47;2024-12-31;2;TRACK & FIELD CO S.A.;877251375;68992864;946244239;0;3899373;3899373
59.546.515/0001-34;2024-12-31;1;FISIA COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;1168847027;0;1168847027;0;0;0
59.717.553/0001-02;2024-12-31;1;GRUPO MULTI S.A.;820539225;0;820539225;13126485;0;13126485
59.789.545/0001-71;2024-12-31;1;POLPAR S.A.;68;80;148;0;0;0
59.981.829/0001-65;2024-12-31;1;RODOBENS SA;548920372;407374120;956294492;0;2489004;2489004
60.398.369/0004-79;2024-12-31;2;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;69561031;0;69561031;14410;0;14410
60.444.437/0001-46;2024-12-31;1;LIGHT SERVICOS DE ELETRICIDADE S.A.;699383780916;0;699383780916;0;0;0
60.476.884/0001-87;2024-12-31;1;MAHLE METAL LEVE S.A.;135539000;0;135539000;0;0;0
60.537.263/0001-66;2024-12-31;1;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;217024025;0;217024025;1858045;0;1858045
60.543.816/0001-93;2024-12-31;1;IGUATEMI S.A.;774849080;443082050;1217931130;3856651;7713294;11569945
60.651.809/0001-05;2024-12-31;1;SUZANO HOLDING S.A.;300136;391573;691709;0;0;0
60.665.981/0001-18;2024-12-31;1;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S.A.;591629015;0;591629015;0;0;0
60.730.348/0001-66;2024-12-31;1;CIA MELHORAMENTOS DE SAO PAULO;5631;773;6404;2;4;6
60.746.948/0001-12;2024-12-31;1;BCO BRADESCO S.A.;5330304681;5311865547;10642170228;23843100;21344200;45187300
60.840.055/0001-31;2024-12-31;1;FLEURY S.A.;547191026;0;547191026;2911287;0;2911287
60.851.615/0001-53;2024-12-31;1;BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL;607192;992808;1600000;0;0;0
60.872.504/0001-23;2024-12-31;1;ITAU UNIBANCO HOLDING S.A.;4958290;4817814;9776104;0;28031;28031
60.884.319/0001-59;2024-12-31;1;NORDON INDUSTRIAS METALURGICAS S.A.;6621;0;6621;0;0;0
60.894.730/0001-05;2024-12-31;1;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;705260684;547818424;1253079108;2526656;19609792;22136448
60.933.603/0001-78;2024-12-31;1;CESP - CIA ENERGETICA DE SAO PAULO;348598;0;348598;113;0;113
61.022.042/0001-18;2024-12-31;2;CONSTRUTORA ADOLPHO LINDENBERG S.A.;3721065;0;3721065;0;0;0
61.065.298/0001-02;2024-12-31;1;MANGELS INDUSTRIAL S.A.;2067243;3715969;5783212;0;0;0
61.079.117/0001-05;2024-12-31;3;ALPARGATAS S.A.;339510689;343551533;683062222;32;6632532;6632564
61.080.313/0001-91;2024-12-31;1;COBRASMA S.A.;403041;622808;1025849;0;0;0
61.082.004/0001-50;2024-12-31;2;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;2695;5389;8084;0;0;0
61.088.894/0001-08;2024-12-31;1;CAMBUCI S.A.;42275080;0;42275080;435507;0;435507
61.092.037/0001-81;2024-12-31;2;ETERNIT S.A.;61777;0;61777;126;0;126
61.156.113/0001-75;2024-12-31;1;IOCHPE MAXION S.A.;153720;0;153720;3950;0;3950
61.156.931/0001-78;2024-12-31;2;ALIPERTI S.A.;6250;12345;18595;0;380;380
61.186.680/0001-74;2024-12-31;2;BANCO BMG S/A;372696198;210536213;583232411;0;2750309;2750309
61.189.288/0001-89;2024-12-31;1;MARISA LOJAS S.A.;513546;0;513546;13458;0;13458
61.190.096/0001-92;2024-12-31;2;EUROFARMA LABORATÓRIOS S.A.;989212309;0;989212309;0;0;0
61.351.532/0001-68;2024-12-31;1;AZEVEDO E TRAVASSOS S.A.;67326343;130259128;197585471;0;0;0
61.374.161/0001-30;2024-12-31;2;BAUMER S.A.;4900000;4900000;9800000;11890;3600;15490
61.409.892/0001-73;2024-12-31;2;COMPANHIA BRASILEIRA DE ALUMÍNIO;651073;0;651073;0;0;0
61.486.650/0001-83;2024-12-31;1;DIAGNOSTICOS DA AMERICA S.A.;1255006644;0;1255006644;5361750;0;5361750
