ticker,ano,lucro_liquido
02.365.069/0001-44,2024,-27838.0
02.373.517/0001-51,2013,75072.0
02.373.517/0001-51,2014,81967.0
02.373.517/0001-51,2015,-7007.0
02.373.517/0001-51,2016,-87073.0
02.373.517/0001-51,2017,-83530.0
02.387.241/0001-60,2010,239879.0
02.387.241/0001-60,2011,251282.0
02.387.241/0001-60,2012,243367.0
02.387.241/0001-60,2013,27978.0
02.387.241/0001-60,2014,-2017881.0
02.387.241/0001-60,2015,-1190878.0
02.387.241/0001-60,2016,-1052572.0
02.387.241/0001-60,2017,-258438.0
02.387.241/0001-60,2018,272967.0
02.387.241/0001-60,2019,785871.0
02.387.241/0001-60,2020,304675.0
02.387.241/0001-60,2021,155741.0
02.387.241/0001-60,2022,514021.0
02.387.241/0001-60,2023,721917.0
02.387.241/0001-60,2024,-949242.0
02.390.206/0001-09,2010,228662.0
02.390.206/0001-09,2011,-264169.0
02.390.206/0001-09,2012,-32640.0
02.390.206/0001-09,2013,-105688.0
02.421.421/0001-11,2020,1843690.0
02.421.421/0001-11,2022,1670755.0
02.421.421/0001-11,2023,2837422.0
02.421.421/0001-11,2024,0.0
02.429.144/0001-93,2010,1560037.0
02.429.144/0001-93,2011,1582384.0
02.429.144/0001-93,2012,1256734.0
02.429.144/0001-93,2013,949036.0
02.429.144/0001-93,2014,886443.0
02.429.144/0001-93,2015,875277.0
02.429.144/0001-93,2016,879057.0
02.429.144/0001-93,2017,1243042.0
02.429.144/0001-93,2018,2165995.0
02.429.144/0001-93,2019,2748297.0
02.429.144/0001-93,2020,3706986.0
02.429.144/0001-93,2021,4853751.0
02.429.144/0001-93,2022,5218813.0
02.429.144/0001-93,2023,5537162.0
02.429.144/0001-93,2024,5761554.0
02.465.783/0001-04,2010,1777.0
02.465.783/0001-04,2011,1718.0
02.465.783/0001-04,2012,1019.0
02.474.103/0001-19,2010,1211649.0
02.474.103/0001-19,2011,1448106.0
02.474.103/0001-19,2012,1499923.0
02.474.103/0001-19,2013,1436747.0
02.474.103/0001-19,2014,1383105.0
02.474.103/0001-19,2015,1501303.0
02.474.103/0001-19,2016,1548301.0
02.474.103/0001-19,2017,2004559.0
